method	DER	B3Precision	B3Recall	B3F1	TauRefSys	TauSysRef	CE	MI	NMI
diartk	108.82	0.415682978220406	0.766993217463789	0.53916029776139	0.109867679468313	0.0863188353687041	1.50695673014728	0.150972583559192	0.13020944281033
diartk	124.03	0.362676514194302	0.642014927620307	0.463512928087638	0.102738851103067	0.0457989890482531	1.87718784930241	0.203782032447458	0.123910409174647
diartk	107.65	0.335026114588417	0.653077755685661	0.442864580523909	0.0942569599742408	0.0214281251633101	1.84962886454655	0.142528412368231	0.0960531835391768
diartk	234.57	0.586479523020294	0.291299482529957	0.389257843921963	0.0894557526298789	0.200786569848522	1.0550816752119	0.321762772808096	0.174923170328421
diartk	97.02	0.32119260793215	0.521298692589329	0.397481342491602	0.34111089150624	0.19802692210253	2.2011473653779	0.981725156553199	0.366415961252754
diartk	92.27	0.645711839740004	0.830366450712401	0.726489173394114	0.169644560495483	0.0888225390682608	0.840063585219878	0.109905804254573	0.144027234363937
diartk	94.56	0.616905083201386	0.90335372628276	0.733142938815589	0.128698069572382	0.0779497009868929	1.15014562304505	0.0996729059967193	0.147500822421221
diartk	99.81	0.374662091028557	0.612940651583183	0.46505667975619	0.128530810667438	0.118713756800185	1.92234078984564	0.349783722375844	0.195008910470734
diartk	100	0.717277209299241	0.752570862118519	0.734500304183986	0.0193140552172155	0.0300685559128436	0.75710697113899	0.0488681677264662	0.0615767318033706
diartk	113.78	0.425813637228833	0.835324440898565	0.564081831504619	0.0545579723551707	0.0121360550905745	1.63069578521092	0.0428302404414042	0.0489533768683543
diartk	95.23	0.463560411317039	0.56060833353245	0.507486351222822	0.0506508232277445	0.126104590259427	1.4033600990976	0.215227109985474	0.14028361722159
diartk	109.46	0.336637519089476	0.474553743557344	0.393871586793266	0.216602819615085	0.100551208040492	1.88279440589897	0.468880293752922	0.220149554766239
diartk	541.24	0.857491454095132	0.469003366710095	0.606359516204704	0.0317550400799486	0.0400080157232984	0.464468011054838	0.0782921618952492	0.0811082858746365
diartk	134.98	0.409638653283675	0.44019232265713	0.424366245392401	0.0924780523671248	0.110405732509732	1.64621717164989	0.279463232501854	0.155483767033441
